;precision;recall;f1-score;support
art;0,5555555555555556;0,55;0,5527638190954774;100,0
gaming;0,6172839506172839;0,5494505494505495;0,5813953488372093;91,0
memberships;0,5147058823529411;0,693069306930693;0,5907172995780591;101,0
music;0,9259259259259259;0,7978723404255319;0,8571428571428572;94,0
pfps;0,5384615384615384;0,63;0,5806451612903226;100,0
photography;0,9024390243902439;0,7551020408163265;0,8222222222222222;98,0
virtual-worlds;0,7469879518072289;0,6526315789473685;0,696629213483146;95,0
accuracy;0,6612665684830633;0,6612665684830633;0,6612665684830633;0,6612665684830633
macro avg;0,6859085470158168;0,6611608309386385;0,6687879888070418;679,0
weighted avg;0,6833575255883608;0,6612665684830633;0,6675100201329238;679,0
