;precision;recall;f1-score;support
art;0,5098039215686274;0,52;0,5148514851485149;100,0
gaming;0,6707317073170732;0,6043956043956044;0,6358381502890174;91,0
memberships;0,5263157894736842;0,693069306930693;0,5982905982905982;101,0
music;0,8961038961038961;0,7340425531914894;0,8070175438596491;94,0
pfps;0,4883720930232558;0,63;0,5502183406113538;100,0
photography;0,8625;0,7040816326530612;0,7752808988764046;98,0
virtual-worlds;0,7236842105263158;0,5789473684210527;0,6432748538011696;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,6682159454304075;0,6377909236559857;0,6463959815538153;679,0
weighted avg;0,6649791572837265;0,6377025036818851;0,6446890913158226;679,0
