;precision;recall;f1-score;support
art;0,5463917525773195;0,53;0,5380710659898477;100,0
gaming;0,6219512195121951;0,5604395604395604;0,5895953757225434;91,0
memberships;0,5111111111111111;0,6831683168316832;0,5847457627118643;101,0
music;0,9240506329113924;0,776595744680851;0,8439306358381502;94,0
pfps;0,5403225806451613;0,67;0,5982142857142856;100,0
photography;0,8875;0,7244897959183674;0,797752808988764;98,0
virtual-worlds;0,7439024390243902;0,6421052631578947;0,6892655367231638;95,0
accuracy;0,6553755522827688;0,6553755522827688;0,6553755522827688;0,6553755522827688
macro avg;0,6821756765402244;0,6552569544326224;0,6630822102412312;679,0
weighted avg;0,6795253427408955;0,6553755522827688;0,6617533393717947;679,0
