;precision;recall;f1-score;support
art;0,5157894736842106;0,49;0,5025641025641027;100,0
gaming;0,6666666666666666;0,6593406593406593;0,6629834254143646;91,0
memberships;0,5416666666666666;0,6435643564356436;0,588235294117647;101,0
music;0,9459459459459459;0,7446808510638298;0,8333333333333334;94,0
pfps;0,4927536231884058;0,68;0,5714285714285715;100,0
photography;0,8352941176470589;0,7244897959183674;0,7759562841530054;98,0
virtual-worlds;0,6493506493506493;0,5263157894736842;0,5813953488372093;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,6639238775928006;0,6383416360331692;0,6451280514068906;679,0
weighted avg;0,660817914320919;0,6377025036818851;0,6432284700113692;679,0
