;precision;recall;f1-score;support
art;0,5288461538461539;0,55;0,5392156862745098;100,0
gaming;0,5977011494252874;0,5714285714285714;0,5842696629213484;91,0
memberships;0,5196850393700787;0,6534653465346535;0,5789473684210525;101,0
music;0,9259259259259259;0,7978723404255319;0,8571428571428572;94,0
pfps;0,5299145299145299;0,62;0,5714285714285714;100,0
photography;0,8780487804878049;0,7346938775510204;0,8;98,0
virtual-worlds;0,7530864197530864;0,6421052631578947;0,6931818181818182;95,0
accuracy;0,6524300441826215;0,6524300441826215;0,6524300441826215;0,6524300441826215
macro avg;0,6761725712461238;0,6527950570139531;0,6605979949100226;679,0
weighted avg;0,6736142700317124;0,6524300441826215;0,6591021363849462;679,0
