;precision;recall;f1-score;support
art;0,53125;0,51;0,5204081632653061;100,0
gaming;0,625;0,6593406593406593;0,6417112299465241;91,0
memberships;0,559322033898305;0,6534653465346535;0,6027397260273972;101,0
music;0,9466666666666667;0,7553191489361702;0,8402366863905325;94,0
pfps;0,5284552845528455;0,65;0,5829596412556054;100,0
photography;0,7934782608695652;0,7448979591836735;0,7684210526315789;98,0
virtual-worlds;0,6455696202531646;0,5368421052631579;0,5862068965517242;95,0
accuracy;0,6435935198821797;0,6435935198821797;0,6435935198821797;0,6435935198821797
macro avg;0,661391695177221;0,644266459894045;0,6489547708669526;679,0
weighted avg;0,6589303446759175;0,6435935198821797;0,6474026237953028;679,0
