;precision;recall;f1-score;support
art;0,5344827586206896;0,62;0,574074074074074;100,0
gaming;0,5855855855855856;0,7142857142857143;0,6435643564356437;91,0
memberships;0,5036496350364964;0,6831683168316832;0,5798319327731093;101,0
music;0,8888888888888888;0,7659574468085106;0,8228571428571428;94,0
pfps;0,550561797752809;0,49;0,5185185185185186;100,0
photography;0,875;0,7142857142857143;0,7865168539325842;98,0
virtual-worlds;0,8;0,5473684210526316;0,65;95,0
accuracy;0,646539027982327;0,646539027982327;0,646539027982327;0,646539027982327
macro avg;0,6768812379834956;0,6478665161806078;0,6536232683701533;679,0
weighted avg;0,6744726253606478;0,646539027982327;0,6517877231501495;679,0
