;precision;recall;f1-score;support
art;0,5420560747663551;0,58;0,5603864734299516;100,0
gaming;0,5480769230769231;0,6263736263736264;0,5846153846153846;91,0
memberships;0,52;0,6435643564356436;0,5752212389380531;101,0
music;0,872093023255814;0,7978723404255319;0,8333333333333334;94,0
pfps;0,4946236559139785;0,46;0,4766839378238342;100,0
photography;0,8674698795180723;0,7346938775510204;0,7955801104972376;98,0
virtual-worlds;0,7283950617283951;0,6210526315789474;0,6704545454545455;95,0
accuracy;0,6362297496318114;0,6362297496318114;0,6362297496318114;0,6362297496318114
macro avg;0,6532449454656483;0,63765097605211;0,6423250034417629;679,0
weighted avg;0,651324442284313;0,6362297496318114;0,6406447013819829;679,0
