;precision;recall;f1-score;support
art;0,4778761061946903;0,54;0,5070422535211268;100,0
gaming;0,5378151260504201;0,7032967032967034;0,6095238095238096;91,0
memberships;0,5727272727272728;0,6237623762376238;0,5971563981042654;101,0
music;0,8333333333333334;0,7446808510638298;0,7865168539325842;94,0
pfps;0,5567010309278351;0,54;0,5482233502538071;100,0
photography;0,868421052631579;0,673469387755102;0,7586206896551724;98,0
virtual-worlds;0,6375;0,5368421052631579;0,5828571428571427;95,0
accuracy;0,6215022091310751;0,6215022091310751;0,6215022091310751;0,6215022091310751
macro avg;0,640624845980733;0,6231502033737739;0,6271343568354154;679,0
weighted avg;0,6395367322820669;0,6215022091310751;0,6258539965831948;679,0
