;precision;recall;f1-score;support
art;0,5420560747663551;0,58;0,5603864734299516;100,0
gaming;0,5555555555555556;0,6593406593406593;0,6030150753768844;91,0
memberships;0,5245901639344263;0,6336633663366337;0,5739910313901346;101,0
music;0,8636363636363636;0,8085106382978723;0,8351648351648351;94,0
pfps;0,5416666666666666;0,52;0,5306122448979592;100,0
photography;0,8554216867469879;0,7244897959183674;0,7845303867403315;98,0
virtual-worlds;0,7466666666666667;0,5894736842105263;0,6588235294117647;95,0
accuracy;0,6435935198821797;0,6435935198821797;0,6435935198821797;0,6435935198821797
macro avg;0,661370453996146;0,6450683063005799;0,6495033680588372;679,0
weighted avg;0,6595845553351857;0,6435935198821797;0,6479013925812308;679,0
