;precision;recall;f1-score;support
art;0,5;0,56;0,5283018867924528;100,0
gaming;0,5925925925925926;0,7032967032967034;0,6432160804020101;91,0
memberships;0,5508474576271186;0,6435643564356436;0,5936073059360731;101,0
music;0,9230769230769231;0,7659574468085106;0,8372093023255814;94,0
pfps;0,5428571428571428;0,57;0,5560975609756097;100,0
photography;0,8674698795180723;0,7346938775510204;0,7955801104972376;98,0
virtual-worlds;0,6666666666666666;0,5263157894736842;0,5882352941176471;95,0
accuracy;0,6421207658321061;0,6421207658321061;0,6421207658321061;0,6421207658321061
macro avg;0,6633586660483595;0,6434040247950803;0,6488925058638016;679,0
weighted avg;0,661210376623438;0,6421207658321061;0,6472368544645699;679,0
