;precision;recall;f1-score;support
art;0,5508474576271186;0,65;0,5963302752293578;100,0
gaming;0,6333333333333333;0,6263736263736264;0,6298342541436464;91,0
memberships;0,5140845070422535;0,7227722772277227;0,6008230452674896;101,0
music;0,8735632183908046;0,8085106382978723;0,839779005524862;94,0
pfps;0,5555555555555556;0,5;0,5263157894736842;100,0
photography;0,8846153846153846;0,7040816326530612;0,7840909090909091;98,0
virtual-worlds;0,7837837837837838;0,6105263157894737;0,6863905325443787;95,0
accuracy;0,6597938144329897;0,6597938144329897;0,6597938144329897;0,6597938144329897
macro avg;0,6851118914783191;0,6603234986202509;0,6662234016106182;679,0
weighted avg;0,6825668329062902;0,6597938144329897;0,6645800992214353;679,0
