;precision;recall;f1-score;support
art;0,49166666666666664;0,59;0,5363636363636364;100,0
gaming;0,6057692307692307;0,6923076923076923;0,6461538461538462;91,0
memberships;0,5;0,6336633663366337;0,5589519650655022;101,0
music;0,8313253012048193;0,7340425531914894;0,7796610169491526;94,0
pfps;0,5111111111111111;0,46;0,4842105263157895;100,0
photography;0,8674698795180723;0,7346938775510204;0,7955801104972376;98,0
virtual-worlds;0,676056338028169;0,5052631578947369;0,5783132530120482;95,0
accuracy;0,6200294550810015;0,6200294550810015;0,6200294550810015;0,6200294550810015
macro avg;0,6404855038997243;0,6214243781830817;0,6256049077653162;679,0
weighted avg;0,6381218798180822;0,6200294550810015;0,623720633575335;679,0
