;precision;recall;f1-score;support
art;0,5135135135135135;0,57;0,5402843601895734;100,0
gaming;0,5408163265306123;0,5824175824175825;0,5608465608465608;91,0
memberships;0,5037037037037037;0,6732673267326733;0,5762711864406779;101,0
music;0,9012345679012346;0,776595744680851;0,8342857142857142;94,0
pfps;0,5816326530612245;0,57;0,5757575757575758;100,0
photography;0,9078947368421053;0,7040816326530612;0,7931034482758621;98,0
virtual-worlds;0,75;0,631578947368421;0,6857142857142857;95,0
accuracy;0,6435935198821797;0,6435935198821797;0,6435935198821797;0,6435935198821797
macro avg;0,6712565002217705;0,6439916048360842;0,6523233045014643;679,0
weighted avg;0,6694296171414962;0,6435935198821797;0,6511553353151829;679,0
