;precision;recall;f1-score;support
art;0,48695652173913045;0,56;0,5209302325581395;100,0
gaming;0,61;0,6703296703296703;0,6387434554973822;91,0
memberships;0,559322033898305;0,6534653465346535;0,6027397260273972;101,0
music;0,8588235294117647;0,776595744680851;0,8156424581005587;94,0
pfps;0,5544554455445545;0,56;0,5572139303482587;100,0
photography;0,8395061728395061;0,6938775510204082;0,759776536312849;98,0
virtual-worlds;0,6708860759493671;0,5578947368421052;0,6091954022988505;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,654278539911804;0,6388804356296698;0,6434631058776337;679,0
weighted avg;0,6522502445806548;0,6377025036818851;0,6418539586276455;679,0
