;precision;recall;f1-score;support
art;0,5526315789473685;0,63;0,588785046728972;100,0
gaming;0,5764705882352941;0,5384615384615384;0,5568181818181818;91,0
memberships;0,5403225806451613;0,6633663366336634;0,5955555555555556;101,0
music;0,9156626506024096;0,8085106382978723;0,8587570621468926;94,0
pfps;0,5480769230769231;0,57;0,5588235294117646;100,0
photography;0,8780487804878049;0,7346938775510204;0,8;98,0
virtual-worlds;0,7011494252873564;0,6421052631578947;0,6703296703296704;95,0
accuracy;0,6553755522827688;0,6553755522827688;0,6553755522827688;0,6553755522827688
macro avg;0,6731946467546168;0,6553053791574269;0,6612955779987196;679,0
weighted avg;0,671329189136572;0,6553755522827688;0,6603636315077553;679,0
