;precision;recall;f1-score;support
art;0,46551724137931033;0,54;0,5;100,0
gaming;0,6111111111111112;0,7252747252747253;0,6633165829145728;91,0
memberships;0,5338983050847458;0,6237623762376238;0,5753424657534246;101,0
music;0,8987341772151899;0,7553191489361702;0,8208092485549134;94,0
pfps;0,5196078431372549;0,53;0,5247524752475248;100,0
photography;0,8641975308641975;0,7142857142857143;0,7821229050279329;98,0
virtual-worlds;0,6933333333333334;0,5473684210526316;0,611764705882353;95,0
accuracy;0,6318114874815906;0,6318114874815906;0,6318114874815906;0,6318114874815906
macro avg;0,6551999345893061;0,6337157693981236;0,6397297690543888;679,0
weighted avg;0,6525572691103282;0,6318114874815906;0,6375086991558134;679,0
