;precision;recall;f1-score;support
art;0,4789915966386555;0,57;0,5205479452054794;100,0
gaming;0,5961538461538461;0,6813186813186813;0,635897435897436;91,0
memberships;0,5275590551181102;0,6633663366336634;0,587719298245614;101,0
music;0,9090909090909091;0,7446808510638298;0,8187134502923976;94,0
pfps;0,5816326530612245;0,57;0,5757575757575758;100,0
photography;0,8641975308641975;0,7142857142857143;0,7821229050279329;98,0
virtual-worlds;0,684931506849315;0,5263157894736842;0,5952380952380952;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,6632224425394654;0,6385667675393677;0,6451423865235044;679,0
weighted avg;0,6609871666669203;0,6377025036818851;0,6436105978698395;679,0
