;precision;recall;f1-score;support
art;0,5084745762711864;0,6;0,5504587155963302;100,0
gaming;0,5096153846153846;0,5824175824175825;0,5435897435897435;91,0
memberships;0,5333333333333333;0,6336633663366337;0,579185520361991;101,0
music;0,875;0,8191489361702128;0,8461538461538463;94,0
pfps;0,5529411764705883;0,47;0,508108108108108;100,0
photography;0,9;0,7346938775510204;0,8089887640449438;98,0
virtual-worlds;0,7142857142857143;0,631578947368421;0,670391061452514;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,6562357407108866;0,6387861014062671;0,6438393941867824;679,0
weighted avg;0,6549195652400398;0,6377025036818851;0,6426032368873732;679,0
