;precision;recall;f1-score;support
art;0,46511627906976744;0,6;0,5240174672489083;100,0
gaming;0,5740740740740741;0,6813186813186813;0,6231155778894472;91,0
memberships;0,5470085470085471;0,6336633663366337;0,5871559633027523;101,0
music;0,8433734939759037;0,7446808510638298;0,7909604519774013;94,0
pfps;0,5393258426966292;0,48;0,5079365079365079;100,0
photography;0,8395061728395061;0,6938775510204082;0,759776536312849;98,0
virtual-worlds;0,6527777777777778;0,49473684210526314;0,5628742514970059;95,0
accuracy;0,6170839469808542;0,6170839469808542;0,6170839469808542;0,6170839469808542
macro avg;0,6373117410631721;0,6183253274064022;0,6222623937378389;679,0
weighted avg;0,6354866250753153;0,6170839469808542;0,6207409489496463;679,0
