;precision;recall;f1-score;support
art;0,48598130841121495;0,52;0,5024154589371981;100,0
gaming;0,5779816513761468;0,6923076923076923;0,6299999999999999;91,0
memberships;0,5546218487394958;0,6534653465346535;0,6000000000000001;101,0
music;0,8409090909090909;0,7872340425531915;0,8131868131868133;94,0
pfps;0,6136363636363636;0,54;0,574468085106383;100,0
photography;0,8375;0,6836734693877551;0,752808988764045;98,0
virtual-worlds;0,6477272727272727;0,6;0,6229508196721312;95,0
accuracy;0,6377025036818851;0,6377025036818851;0,6377025036818851;0,6377025036818851
macro avg;0,651193933685655;0,6395257929690417;0,6422614522380815;679,0
weighted avg;0,6498224589944355;0,6377025036818851;0,6406679287358578;679,0
