;precision;recall;f1-score;support
art;0,6;0,63;0,6146341463414634;100,0
gaming;0,5172413793103449;0,6593406593406593;0,5797101449275363;91,0
memberships;0,5517241379310345;0,6336633663366337;0,5898617511520738;101,0
music;0,872093023255814;0,7978723404255319;0,8333333333333334;94,0
pfps;0,5909090909090909;0,52;0,5531914893617023;100,0
photography;0,8461538461538461;0,7857142857142857;0,8148148148148148;98,0
virtual-worlds;0,7792207792207793;0,631578947368421;0,6976744186046512;95,0
accuracy;0,6642120765832106;0,6642120765832106;0,6642120765832106;0,6642120765832106
macro avg;0,6796203223972729;0,6654527998836475;0,6690314426479393;679,0
weighted avg;0,6786595105659535;0,6642120765832106;0,6680065958434593;679,0
