;precision;recall;f1-score;support
art;0,48623853211009177;0,53;0,5071770334928231;100,0
gaming;0,5689655172413793;0,7252747252747253;0,6376811594202899;91,0
memberships;0,5294117647058824;0,6237623762376238;0,5727272727272728;101,0
music;0,8780487804878049;0,7659574468085106;0,8181818181818182;94,0
pfps;0,5408163265306123;0,53;0,5353535353535354;100,0
photography;0,8846153846153846;0,7040816326530612;0,7840909090909091;98,0
virtual-worlds;0,6233766233766234;0,5052631578947369;0,558139534883721;95,0
accuracy;0,6244477172312224;0,6244477172312224;0,6244477172312224;0,6244477172312224
macro avg;0,6444961327239683;0,626334191266951;0,6304787518786242;679,0
weighted avg;0,6427122362993676;0,6244477172312224;0,6287198125939474;679,0
