;precision;recall;f1-score;support
art;0,5247524752475248;0,53;0,527363184079602;100,0
gaming;0,47959183673469385;0,5164835164835165;0,4973544973544974;91,0
memberships;0,5504587155963303;0,594059405940594;0,5714285714285715;101,0
music;0,7894736842105263;0,7978723404255319;0,7936507936507936;94,0
pfps;0,5698924731182796;0,53;0,5492227979274611;100,0
photography;0,8068181818181818;0,7244897959183674;0,7634408602150539;98,0
virtual-worlds;0,6526315789473685;0,6526315789473685;0,6526315789473685;95,0
accuracy;0,6200294550810015;0,6200294550810015;0,6200294550810015;0,6200294550810015
macro avg;0,6248027065247007;0,6207909482450541;0,622156040514764;679,0
weighted avg;0,6244217826047691;0,6200294550810015;0,621579561234906;679,0
