;precision;recall;f1-score;support
art;0,6;0,51;0,5513513513513514;100,0
gaming;0,47572815533980584;0,5384615384615384;0,5051546391752576;91,0
memberships;0,5757575757575758;0,5643564356435643;0,5700000000000001;101,0
music;0,8144329896907216;0,8404255319148937;0,8272251308900525;94,0
pfps;0,5;0,55;0,5238095238095238;100,0
photography;0,8333333333333334;0,7653061224489796;0,7978723404255319;98,0
virtual-worlds;0,6526315789473685;0,6526315789473685;0,6526315789473685;95,0
accuracy;0,6303387334315169;0,6303387334315169;0,6303387334315169;0,6303387334315169
macro avg;0,6359833761526864;0,6315973153451921;0,6325777949427265;679,0
weighted avg;0,63573806330638;0,6303387334315169;0,631820046165542;679,0
