;precision;recall;f1-score;support
art;0,4583333333333333;0,44;0,4489795918367347;100,0
gaming;0,6237623762376238;0,6923076923076923;0,6562500000000001;91,0
memberships;0,5428571428571428;0,5643564356435643;0,5533980582524272;101,0
music;0,7954545454545454;0,7446808510638298;0,7692307692307692;94,0
pfps;0,5104166666666666;0,49;0,4999999999999999;100,0
photography;0,7717391304347826;0,7244897959183674;0,7473684210526316;98,0
virtual-worlds;0,5544554455445545;0,5894736842105263;0,5714285714285714;95,0
accuracy;0,6038291605301914;0,6038291605301914;0,6038291605301914;0,6038291605301914
macro avg;0,6081455200755214;0,6064726370205685;0,6066650588287335;679,0
weighted avg;0,6061007025747627;0,6038291605301914;0,6043378864856158;679,0
