;precision;recall;f1-score;support
art;0,46078431372549017;0,47;0,46534653465346537;100,0
gaming;0,6276595744680851;0,6483516483516484;0,6378378378378379;91,0
memberships;0,47413793103448276;0,5445544554455446;0,5069124423963134;101,0
music;0,8588235294117647;0,776595744680851;0,8156424581005587;94,0
pfps;0,5638297872340425;0,53;0,5463917525773196;100,0
photography;0,8;0,7346938775510204;0,7659574468085106;98,0
virtual-worlds;0,5714285714285714;0,5894736842105263;0,5803108808290155;95,0
accuracy;0,6111929307805597;0,6111929307805597;0,6111929307805597;0,6111929307805597
macro avg;0,6223805296146337;0,6133813443199416;0,6169141933147173;679,0
weighted avg;0,6198549167267333;0,6111929307805597;0,6145493124827576;679,0
