;precision;recall;f1-score;support
art;0,45714285714285713;0,48;0,4682926829268293;100,0
gaming;0,6082474226804123;0,6483516483516484;0,6276595744680851;91,0
memberships;0,59;0,5841584158415841;0,5870646766169154;101,0
music;0,8045977011494253;0,7446808510638298;0,7734806629834253;94,0
pfps;0,46153846153846156;0,48;0,47058823529411764;100,0
photography;0,7222222222222222;0,6632653061224489;0,6914893617021276;98,0
virtual-worlds;0,5833333333333334;0,5894736842105263;0,5863874345549739;95,0
accuracy;0,5964653902798233;0,5964653902798233;0,5964653902798233;0,5964653902798233
macro avg;0,6038688568666731;0,5985614150842912;0,6007089469352106;679,0
weighted avg;0,6018192572673635;0,5964653902798233;0,5986429918806656;679,0
