;precision;recall;f1-score;support
art;0,5531914893617021;0,52;0,536082474226804;100,0
gaming;0,5544554455445545;0,6153846153846154;0,5833333333333334;91,0
memberships;0,43478260869565216;0,49504950495049505;0,46296296296296297;101,0
music;0,7956989247311828;0,7872340425531915;0,7914438502673796;94,0
pfps;0,5280898876404494;0,47;0,4973544973544973;100,0
photography;0,7553191489361702;0,7244897959183674;0,7395833333333335;98,0
virtual-worlds;0,6774193548387096;0,6631578947368421;0,6702127659574467;95,0
accuracy;0,6082474226804123;0,6082474226804123;0,6082474226804123;0,6082474226804123
macro avg;0,6141366942497745;0,6107594076490731;0,6115676024908225;679,0
weighted avg;0,6121773799015962;0,6082474226804123;0,609324581897615;679,0
