;precision;recall;f1-score;support
art;0,48;0,48;0,48;100,0
gaming;0,5517241379310345;0,5274725274725275;0,5393258426966292;91,0
memberships;0,5084745762711864;0,594059405940594;0,547945205479452;101,0
music;0,8333333333333334;0,7978723404255319;0,8152173913043479;94,0
pfps;0,4742268041237113;0,46;0,46700507614213194;100,0
photography;0,7526881720430108;0,7142857142857143;0,7329842931937173;98,0
virtual-worlds;0,6595744680851063;0,6526315789473685;0,6560846560846562;95,0
accuracy;0,6023564064801178;0,6023564064801178;0,6023564064801178;0,6023564064801178
macro avg;0,608574498826769;0,6037602238673909;0,6055089235572764;679,0
weighted avg;0,6063944887026783;0,6023564064801178;0,6037003871821301;679,0
