;precision;recall;f1-score;support
art;0,4473684210526316;0,51;0,4766355140186916;100,0
gaming;0,5833333333333334;0,6153846153846154;0,5989304812834224;91,0
memberships;0,5596330275229358;0,6039603960396039;0,5809523809523809;101,0
music;0,8658536585365854;0,7553191489361702;0,8068181818181819;94,0
pfps;0,5263157894736842;0,5;0,5128205128205129;100,0
photography;0,8111111111111111;0,7448979591836735;0,7765957446808511;98,0
virtual-worlds;0,5913978494623656;0,5789473684210527;0,5851063829787234;95,0
accuracy;0,614138438880707;0,614138438880707;0,614138438880707;0,614138438880707
macro avg;0,6264304557846639;0,6155013554235881;0,6196941712218235;679,0
weighted avg;0,6245016475052049;0,614138438880707;0,6180513481730686;679,0
