;precision;recall;f1-score;support
art;0,5376344086021505;0,5;0,5181347150259067;100,0
gaming;0,57;0,6263736263736264;0,5968586387434556;91,0
memberships;0,5546218487394958;0,6534653465346535;0,6000000000000001;101,0
music;0,7872340425531915;0,7872340425531915;0,7872340425531915;94,0
pfps;0,5104166666666666;0,49;0,4999999999999999;100,0
photography;0,8333333333333334;0,7653061224489796;0,7978723404255319;98,0
virtual-worlds;0,6781609195402298;0,6210526315789474;0,6483516483516483;95,0
accuracy;0,6332842415316642;0,6332842415316642;0,6332842415316642;0,6332842415316642
macro avg;0,6387716027764382;0,634775967069914;0,6354930550142477;679,0
weighted avg;0,6373841948049475;0,6332842415316642;0,6340390332597259;679,0
