;precision;recall;f1-score;support
art;0,5196078431372549;0,53;0,5247524752475248;100,0
gaming;0,550561797752809;0,5384615384615384;0,5444444444444444;91,0
memberships;0,5309734513274337;0,594059405940594;0,5607476635514019;101,0
music;0,872093023255814;0,7978723404255319;0,8333333333333334;94,0
pfps;0,5376344086021505;0,5;0,5181347150259067;100,0
photography;0,8222222222222222;0,7551020408163265;0,7872340425531914;98,0
virtual-worlds;0,6226415094339622;0,6947368421052632;0,6567164179104478;95,0
accuracy;0,6288659793814433;0,6288659793814433;0,6288659793814433;0,6288659793814433
macro avg;0,636533465104521;0,630033166821322;0,6321947274380358;679,0
weighted avg;0,6349913589301438;0,6288659793814433;0,6308380069153429;679,0
