;precision;recall;f1-score;support
art;0,4948453608247423;0,48;0,4873096446700507;100,0
gaming;0,5714285714285714;0,6153846153846154;0,5925925925925927;91,0
memberships;0,5333333333333333;0,5544554455445545;0,5436893203883496;101,0
music;0,797752808988764;0,7553191489361702;0,7759562841530055;94,0
pfps;0,5480769230769231;0,57;0,5588235294117646;100,0
photography;0,8554216867469879;0,7244897959183674;0,7845303867403315;98,0
virtual-worlds;0,5533980582524272;0,6;0,5757575757575758;95,0
accuracy;0,6126656848306333;0,6126656848306333;0,6126656848306333;0,6126656848306333
macro avg;0,6220366775216785;0,6142355722548153;0,6169513333876672;679,0
weighted avg;0,6208421206729933;0,6126656848306333;0,6155709911652953;679,0
