;precision;recall;f1-score;support
art;0,49193548387096775;0,61;0,544642857142857;100,0
gaming;0,4247787610619469;0,5274725274725275;0,47058823529411764;91,0
memberships;0,4690265486725664;0,5247524752475248;0,49532710280373826;101,0
music;0,8705882352941177;0,7872340425531915;0,8268156424581007;94,0
pfps;0,5294117647058824;0,36;0,42857142857142855;100,0
photography;0,8939393939393939;0,6020408163265306;0,7195121951219513;98,0
virtual-worlds;0,5454545454545454;0,631578947368421;0,5853658536585366;95,0
accuracy;0,5758468335787923;0,5758468335787923;0,5758468335787923;0,5758468335787923
macro avg;0,6035906761427743;0,5775826869954565;0,5815461878643899;679,0
weighted avg;0,6029761562181751;0,5758468335787923;0,5802880956950581;679,0
