;precision;recall;f1-score;support
art;0,4409448818897638;0,56;0,49339207048458145;100,0
gaming;0,47101449275362317;0,7142857142857143;0,5676855895196506;91,0
memberships;0,49107142857142855;0,5445544554455446;0,516431924882629;101,0
music;0,7708333333333334;0,7872340425531915;0,7789473684210526;94,0
pfps;0,42857142857142855;0,21;0,28187919463087246;100,0
photography;0,7439024390243902;0,6224489795918368;0,6777777777777778;98,0
virtual-worlds;0,5333333333333333;0,42105263157894735;0,47058823529411764;95,0
accuracy;0,5478645066273933;0,5478645066273933;0,5478645066273933;0,5478645066273933
macro avg;0,5542387624967572;0,5513679747793192;0,5409574515729546;679,0
weighted avg;0,5529301961661318;0,5478645066273933;0,5385792294222702;679,0
