;precision;recall;f1-score;support
art;0,4411764705882353;0,6;0,5084745762711865;100,0
gaming;0,4740740740740741;0,7032967032967034;0,5663716814159293;91,0
memberships;0,53;0,5247524752475248;0,527363184079602;101,0
music;0,75;0,7659574468085106;0,7578947368421053;94,0
pfps;0,4716981132075472;0,25;0,32679738562091504;100,0
photography;0,7721518987341772;0,6224489795918368;0,6892655367231638;98,0
virtual-worlds;0,525;0,4421052631578947;0,48000000000000004;95,0
accuracy;0,5552282768777614;0,5552282768777614;0,5552282768777614;0,5552282768777614
macro avg;0,566300079514862;0,5583658383003529;0,5508810144218431;679,0
weighted avg;0,5655435717176266;0,5552282768777614;0,5489261099442231;679,0
