;precision;recall;f1-score;support
art;0,4496124031007752;0,58;0,5065502183406113;100,0
gaming;0,4411764705882353;0,4945054945054945;0,46632124352331605;91,0
memberships;0,48333333333333334;0,5742574257425742;0,5248868778280543;101,0
music;0,8068181818181818;0,7553191489361702;0,7802197802197802;94,0
pfps;0,5454545454545454;0,36;0,43373493975903615;100,0
photography;0,8656716417910447;0,5918367346938775;0,703030303030303;98,0
virtual-worlds;0,5794392523364486;0,6526315789473685;0,6138613861386139;95,0
accuracy;0,5714285714285714;0,5714285714285714;0,5714285714285714;0,5714285714285714
macro avg;0,5959294040603663;0,5726500546893549;0,5755149641199593;679,0
weighted avg;0,5952781727601212;0,5714285714285714;0,5744208900618812;679,0
