;precision;recall;f1-score;support
art;0,45454545454545453;0,5;0,47619047619047616;100,0
gaming;0,3900709219858156;0,6043956043956044;0,47413793103448276;91,0
memberships;0,39814814814814814;0,42574257425742573;0,4114832535885168;101,0
music;0,8202247191011236;0,776595744680851;0,7978142076502731;94,0
pfps;0,44776119402985076;0,3;0,3592814371257485;100,0
photography;0,8;0,5714285714285714;0,6666666666666666;98,0
virtual-worlds;0,5212765957446809;0,5157894736842106;0,5185185185185186;95,0
accuracy;0,524300441826215;0,524300441826215;0,524300441826215;0,524300441826215
macro avg;0,5474324333650106;0,5277074240638091;0,529156070110669;679,0
weighted avg;0,5463364976619337;0,524300441826215;0,5270113104269792;679,0
