;precision;recall;f1-score;support
art;0,4700854700854701;0,55;0,5069124423963135;100,0
gaming;0,3359375;0,4725274725274725;0,3926940639269406;91,0
memberships;0,5119047619047619;0,42574257425742573;0,4648648648648649;101,0
music;0,7087378640776699;0,776595744680851;0,7411167512690355;94,0
pfps;0,5172413793103449;0,3;0,379746835443038;100,0
photography;0,7887323943661971;0,5714285714285714;0,6627218934911242;98,0
virtual-worlds;0,5677966101694916;0,7052631578947368;0,6291079812206573;95,0
accuracy;0,540500736377025;0,540500736377025;0,540500736377025;0,540500736377025
macro avg;0,557205139987705;0,5430796458270082;0,5395949760874249;679,0
weighted avg;0,5579722978339505;0,540500736377025;0,5386294806333137;679,0
