;precision;recall;f1-score;support
art;0,47413793103448276;0,55;0,5092592592592592;100,0
gaming;0,3939393939393939;0,5714285714285714;0,4663677130044843;91,0
memberships;0,5862068965517241;0,504950495049505;0,5425531914893617;101,0
music;0,6981132075471698;0,7872340425531915;0,74;94,0
pfps;0,5263157894736842;0,3;0,3821656050955414;100,0
photography;0,8709677419354839;0,5510204081632653;0,6749999999999999;98,0
virtual-worlds;0,5714285714285714;0,7157894736842105;0,6355140186915887;95,0
accuracy;0,5655375552282769;0,5655375552282769;0,5655375552282769;0,5655375552282769
macro avg;0,5887299331300728;0,5686318558398205;0,5644085410771764;679,0
weighted avg;0,5896376258554512;0,5655375552282769;0,5632748931296239;679,0
