;precision;recall;f1-score;support
art;0,42962962962962964;0,58;0,49361702127659574;100,0
gaming;0,41836734693877553;0,45054945054945056;0,43386243386243384;91,0
memberships;0,4330708661417323;0,5445544554455446;0,4824561403508772;101,0
music;0,8314606741573034;0,7872340425531915;0,808743169398907;94,0
pfps;0,6;0,33;0,42580645161290326;100,0
photography;0,8208955223880597;0,5612244897959183;0,6666666666666666;98,0
virtual-worlds;0,5925925925925926;0,6736842105263158;0,6305418719211823;95,0
accuracy;0,5596465390279823;0,5596465390279823;0,5596465390279823;0,5596465390279823
macro avg;0,5894309474068704;0,5610352355529172;0,563099107869938;679,0
weighted avg;0,5886243149864789;0,5596465390279823;0,5617210133066464;679,0
