;precision;recall;f1-score;support
art;0,496;0,62;0,5511111111111111;100,0
gaming;0,45045045045045046;0,5494505494505495;0,49504950495049505;91,0
memberships;0,4700854700854701;0,5445544554455446;0,5045871559633027;101,0
music;0,8809523809523809;0,7872340425531915;0,8314606741573034;94,0
pfps;0,5285714285714286;0,37;0,4352941176470588;100,0
photography;0,8823529411764706;0,6122448979591837;0,7228915662650602;98,0
virtual-worlds;0,5769230769230769;0,631578947368421;0,6030150753768844;95,0
accuracy;0,5861561119293078;0,5861561119293078;0,5861561119293078;0,5861561119293078
macro avg;0,6121908211656111;0,5878661275395558;0,5919156007816022;679,0
weighted avg;0,6112143898074766;0,5861561119293078;0,590486656265349;679,0
