;precision;recall;f1-score;support
art;0,452991452991453;0,53;0,4884792626728111;100,0
gaming;0,38405797101449274;0,5824175824175825;0,46288209606986896;91,0
memberships;0,4132231404958678;0,49504950495049505;0,4504504504504505;101,0
music;0,8780487804878049;0,7659574468085106;0,8181818181818182;94,0
pfps;0,453125;0,29;0,35365853658536583;100,0
photography;0,8115942028985508;0,5714285714285714;0,6706586826347305;98,0
virtual-worlds;0,5681818181818182;0,5263157894736842;0,546448087431694;95,0
accuracy;0,5346097201767305;0,5346097201767305;0,5346097201767305;0,5346097201767305
macro avg;0,5658889094385696;0,5373098421541205;0,5415369905752485;679,0
weighted avg;0,5645751808965113;0,5346097201767305;0,5395843244138095;679,0
