;precision;recall;f1-score;support
art;0,38235294117647056;0,52;0,4406779661016949;100,0
gaming;0,3850574712643678;0,7362637362637363;0,5056603773584906;91,0
memberships;0,5301204819277109;0,43564356435643564;0,4782608695652174;101,0
music;0,8045977011494253;0,7446808510638298;0,7734806629834253;94,0
pfps;0,45454545454545453;0,2;0,2777777777777778;100,0
photography;0,8307692307692308;0,5510204081632653;0,6625766871165644;98,0
virtual-worlds;0,4666666666666667;0,4421052631578947;0,4540540540540541;95,0
accuracy;0,5139911634756995;0,5139911634756995;0,5139911634756995;0,5139911634756995
macro avg;0,5505871353570467;0,5185305461435946;0,5132126278510319;679,0
weighted avg;0,5502991752411085;0,5139911634756995;0,5109570682572272;679,0
