;precision;recall;f1-score;support
art;0,4217687074829932;0,62;0,5020242914979757;100,0
gaming;0,3723404255319149;0,38461538461538464;0,37837837837837834;91,0
memberships;0,4878048780487805;0,594059405940594;0,5357142857142856;101,0
music;0,8734177215189873;0,7340425531914894;0,7976878612716763;94,0
pfps;0,5538461538461539;0,36;0,43636363636363634;100,0
photography;0,8615384615384616;0,5714285714285714;0,6871165644171779;98,0
virtual-worlds;0,5660377358490566;0,631578947368421;0,5970149253731343;95,0
accuracy;0,5567010309278351;0,5567010309278351;0,5567010309278351;0,5567010309278351
macro avg;0,590964869116621;0,5565321232206373;0,5620428490023236;679,0
weighted avg;0,5906014396148163;0,5567010309278351;0,5617302919861639;679,0
