;precision;recall;f1-score;support
art;0,18181818181818182;0,1;0,12903225806451613;100,0
gaming;0,38461538461538464;0,38461538461538464;0,38461538461538464;91,0
memberships;0,3853211009174312;0,4158415841584158;0,39999999999999997;101,0
music;0,34782608695652173;0,5106382978723404;0,41379310344827586;94,0
pfps;0,6933333333333334;0,52;0,5942857142857143;100,0
photography;0,33557046979865773;0,5102040816326531;0,4048582995951417;98,0
virtual-worlds;0,25806451612903225;0,16842105263157894;0,2038216560509554;95,0
accuracy;0,37260677466863035;0,37260677466863035;0,37260677466863035;0,37260677466863035
macro avg;0,36950701050979184;0,37281720013005326;0,3614866308657126;679,0
weighted avg;0,37044222379123953;0,37260677466863035;0,36180783452772547;679,0
