;precision;recall;f1-score;support
art;0,23529411764705882;0,12;0,15894039735099336;100,0
gaming;0,3711340206185567;0,3956043956043956;0,3829787234042554;91,0
memberships;0,3761467889908257;0,40594059405940597;0,3904761904761905;101,0
music;0,3333333333333333;0,5425531914893617;0,4129554655870445;94,0
pfps;0,7333333333333333;0,55;0,6285714285714286;100,0
photography;0,3188405797101449;0,4489795918367347;0,3728813559322034;98,0
virtual-worlds;0,23214285714285715;0,1368421052631579;0,17218543046357618;95,0
accuracy;0,3711340206185567;0,3711340206185567;0,3711340206185567;0,3711340206185567
macro avg;0,37146071868230146;0,3714171254647223;0,3598555702550988;679,0
weighted avg;0,3729897617612669;0,3711340206185567;0,36046854816009205;679,0
