;precision;recall;f1-score;support
art;0,5581395348837209;0,48;0,5161290322580644;100,0
gaming;0,5567010309278351;0,5934065934065934;0,574468085106383;91,0
memberships;0,5871559633027523;0,6336633663366337;0,6095238095238095;101,0
music;0,717391304347826;0,7021276595744681;0,7096774193548387;94,0
pfps;0,696969696969697;0,92;0,793103448275862;100,0
photography;0,6767676767676768;0,6836734693877551;0,6802030456852791;98,0
virtual-worlds;0,390625;0,2631578947368421;0,3144654088050315;95,0
accuracy;0,6126656848306333;0,6126656848306333;0,6126656848306333;0,6126656848306333
macro avg;0,5976786010285012;0,610861283348899;0,5996528927156098;679,0
weighted avg;0,5984401461344342;0,6126656848306333;0,600891808973444;679,0
