;precision;recall;f1-score;support
art;0,5802469135802469;0,47;0,5193370165745855;100,0
gaming;0,5306122448979592;0,5714285714285714;0,5502645502645503;91,0
memberships;0,5700934579439252;0,6039603960396039;0,5865384615384616;101,0
music;0,6881720430107527;0,6808510638297872;0,6844919786096257;94,0
pfps;0,6814814814814815;0,92;0,7829787234042553;100,0
photography;0,6504854368932039;0,6836734693877551;0,6666666666666666;98,0
virtual-worlds;0,3870967741935484;0,25263157894736843;0,3057324840764331;95,0
accuracy;0,5994108983799705;0,5994108983799705;0,5994108983799705;0,5994108983799705
macro avg;0,5840269074287311;0,5975064399475837;0,5851442687335112;679,0
weighted avg;0,585048499928064;0,5994108983799705;0,5865481561078675;679,0
