;precision;recall;f1-score;support
art;0,20634920634920634;0,13;0,15950920245398773;100,0
gaming;0,34545454545454546;0,2087912087912088;0,2602739726027397;91,0
memberships;0,32673267326732675;0,32673267326732675;0,32673267326732675;101,0
music;0,25333333333333335;0,20212765957446807;0,22485207100591717;94,0
pfps;0,5853658536585366;0,72;0,6457399103139014;100,0
photography;0,3073170731707317;0,6428571428571429;0,4158415841584159;98,0
virtual-worlds;0,2982456140350877;0,17894736842105263;0,2236842105263158;95,0
accuracy;0,3475699558173785;0,3475699558173785;0,3475699558173785;0,3475699558173785
macro avg;0,3318283284669668;0,34420800755874276;0,32237623204694354;679,0
weighted avg;0,3326533276502744;0,3475699558173785;0,3245190172396454;679,0
