;precision;recall;f1-score;support
art;0,5212765957446809;0,49;0,5051546391752578;100,0
gaming;0,47058823529411764;0,5274725274725275;0,49740932642487046;91,0
memberships;0,4444444444444444;0,5148514851485149;0,4770642201834862;101,0
music;0,5625;0,6702127659574468;0,6116504854368933;94,0
pfps;0,7339449541284404;0,8;0,7655502392344498;100,0
photography;0,6190476190476191;0,6632653061224489;0,6403940886699507;98,0
virtual-worlds;0,3;0,12631578947368421;0,17777777777777778;95,0
accuracy;0,5434462444771723;0,5434462444771723;0,5434462444771723;0,5434462444771723
macro avg;0,5216859783799003;0,5417311248820889;0,5250001109860979;679,0
weighted avg;0,5232345212881184;0,5434462444771723;0,52674650661823;679,0
