;precision;recall;f1-score;support
art;0,5051546391752577;0,49;0,4974619289340101;100,0
gaming;0,4117647058823529;0,38461538461538464;0,3977272727272727;91,0
memberships;0,46153846153846156;0,4752475247524752;0,4682926829268293;101,0
music;0,63;0,6702127659574468;0,6494845360824743;94,0
pfps;0,6902654867256637;0,78;0,732394366197183;100,0
photography;0,6458333333333334;0,6326530612244898;0,6391752577319587;98,0
virtual-worlds;0,2976190476190476;0,2631578947368421;0,27932960893854747;95,0
accuracy;0,5301914580265096;0,5301914580265096;0,5301914580265096;0,5301914580265096
macro avg;0,5203108106105881;0,5279838044695198;0,5234093790768964;679,0
weighted avg;0,5219638610180369;0,5301914580265096;0,5253363870479492;679,0
