;precision;recall;f1-score;support
art;0,4017094017094017;0,47;0,43317972350230416;100,0
gaming;0,2872340425531915;0,2967032967032967;0,2918918918918919;91,0
memberships;0,39215686274509803;0,39603960396039606;0,3940886699507389;101,0
music;0,41935483870967744;0,5531914893617021;0,47706422018348627;94,0
pfps;0,6261682242990654;0,67;0,6473429951690821;100,0
photography;0,4725274725274725;0,4387755102040816;0,455026455026455;98,0
virtual-worlds;0,25;0,11578947368421053;0,15827338129496402;95,0
accuracy;0,422680412371134;0,422680412371134;0,422680412371134;0,422680412371134
macro avg;0,40702154893484377;0,42007133913052674;0,40812390528841747;679,0
weighted avg;0,40944175369196467;0,422680412371134;0,41073636260263224;679,0
